K7ES00_H3-3B,U3KQK0_H2BC15,P01814_IGHV2-70,A0A0B4J1X5_IGHV3-74
2.344215678,2.475034907,2.326712729,2.073654177
2.269478222,2.524037006,2.313765361,2.288897122
2.077871298,2.387455436,2.229780108,2.370725805
2.106722078,2.451699355,2.425432266,2.21620835
2.380183419,2.638020975,2.526851293,2.303706154
2.063493393,2.418731727,1.994959453,2.563334883
2.280433483,2.6165499,2.25438825,2.367993016
1.997516303,2.374371999,2.054843781,2.357785216
1.992990519,2.382069066,2.342898493,2.281904467
2.004111966,2.376642307,2.487250563,2.720416796
1.948256029,2.558267581,2.112243145,2.453474696
1.939301065,2.558003573,1.813826804,2.470044752
2.400029889,2.745497678,2.051912034,2.468539109
2.170840077,2.453265025,2.094260818,2.58833085
2.188194589,2.359886466,2.787986168,2.708491017
2.225659841,2.330494396,2.618053916,2.2712918
2.524258065,2.836297901,2.4462406,2.82981641
2.449334315,2.808480099,2.269011364,2.614400813
2.569329277,2.948666947,2.393235818,2.413495796
2.552488324,2.891213638,2.138572766,2.592248658
2.036666476,2.478566025,3.012523325,2.890556115
2.809972776,3.103694983,2.106390822,2.543105733
